assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems,realm,scopes
1998446,191698,Neoophorus regalis,Critically Endangered,2019,2018-03-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1998453,191699,Allotoca zacapuensis,Critically Endangered,2019,2018-03-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1998460,191700,Chapalichthys encaustus,Vulnerable,2019,2018-03-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1999656,191705,Chapalichthys pardalis,Critically Endangered,2019,2018-03-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000012,191713,Neotoca bilineata,Endangered,2019,2018-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000019,191714,Skiffia lermae,Endangered,2019,2018-03-13 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000026,191715,Skiffia multipunctata,Endangered,2019,2018-03-14 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000033,191716,Xenotaenia resolanae,Vulnerable,2019,2018-03-14 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000040,191717,Xenotoca eiseni,Endangered,2019,2018-03-14 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
2000047,191718,Xenotoca melanosoma,Endangered,2019,2018-03-14 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2000061,191720,Zoogoneticus quitzeoensis,Endangered,2019,2018-03-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2002448,191755,Poecilia velifera,Vulnerable,2019,2018-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2002876,191775,Xiphophorus andersi,Endangered,2019,2018-03-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
2006883,191825,Gobiesox juniperoserrai,Critically Endangered,2019,2018-03-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
2026259,192001,Cryptelytrops honsonensis,Vulnerable,2012,2011-09-01 00:00:00 UTC,Stable,Terrestrial,Indomalayan,Global
2031924,192040,Elaphe moellendorffi,Vulnerable,2012,2011-08-30 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
2040894,192109,Naja atra,Vulnerable,2014,2011-08-30 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
2041362,192112,Thermophis zhaoermii,Endangered,2014,2011-08-30 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global
2044734,192132,Euprepiophis perlacea,Endangered,2012,2011-08-29 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
2046130,192140,Protobothrops mangshanensis,Endangered,2012,2011-08-31 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
2054340,192198,Calamaria prakkei,Critically Endangered,2012,2011-08-30 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global
