assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
1725896,18136,Prietella phreatophila,Vulnerable,2019,2018-11-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1728224,18182,Probarbus jullieni,Critically Endangered,2019,2019-01-29 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1772865,185152,Lupinoblennius paivai,Endangered,2014,2011-03-25 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine
1797817,185977,Elacatinus atronasus,Endangered,2015,2011-03-22 00:00:00 UTC,Decreasing,Marine
1803985,186014,Gobiosoma hildebrandi,Vulnerable,2015,2007-05-23 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine
1804288,186016,Gobiosoma spilotum,Endangered,2015,2011-03-24 00:00:00 UTC,Decreasing,Marine
1809709,186065,Diasporus ventrimaculatus,Vulnerable,2013,2010-08-04 00:00:00 UTC,Stable,Terrestrial
1828505,187830,Raorchestes chromasynchysi,Vulnerable,2012,2011-08-02 00:00:00 UTC,Stable,Terrestrial
1834942,187916,Schistura thanho,Endangered,2012,2010-08-30 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1835517,187923,Yasuhikotakia nigrolineata,Vulnerable,2012,2012-04-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1855766,18825,Ptychobranchus greenii,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1855999,18826,Ptychobranchus jonesi,Critically Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1857376,188319,Neopomacentrus aquadulcis,Endangered,2012,2010-11-19 00:00:00 UTC,Decreasing,Marine
1868736,188397,Altrichthys curatus,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine
1880318,188472,Altrichthys azurelineatus,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine
1888295,188528,Amblyglyphidodon batunai,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine
1890998,188546,Amblyglyphidodon ternatensis,Vulnerable,2017,2010-11-15 00:00:00 UTC,Decreasing,Marine
1924473,189371,Alasmidonta triangulata,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1928059,189539,Elliptio roanokensis,Vulnerable,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1929459,18960,Pyrgulopsis bruneauensis,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1929774,18961,Marstonia castor,Critically Endangered,2012,2012-04-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1931339,189659,Elimia bellacrenata,Critically Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1932107,189675,Neritina granosa,Vulnerable,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)|Marine
1932266,189676,Juga occata,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1932644,189681,Pyrgulopsis ventricosa,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
