internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
169765,Lycodon philippinus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Lycodon,philippinus,,,,,"(Griffin, 1909)",
169769,Hologerrhum dermali,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,NATRICIDAE,Hologerrhum,dermali,,,,,"Brown, Leviton, Ferner &amp; Sison, 2000",
169780,Ramphotyphlops suluensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Ramphotyphlops,suluensis,,,,,"Taylor, 1918",Additional studies into the taxonomic status of this species are needed; it is sometimes placed within the genus <em>Typhlops</em> (A. Diesmos pers. comm. 2007).
169781,Opisthotropis alcalai,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,NATRICIDAE,Opisthotropis,alcalai,,,,,"Brown &amp; Leviton, 1961",
169783,Draco mindanensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,AGAMIDAE,Draco,mindanensis,,,,,"Stejneger, 1908",
169795,Pseudorabdion montanum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CALAMARIIDAE,Pseudorabdion,montanum,,,,,"Leviton &amp; Brown, 1959",
169801,Pseudorabdion mcnamarae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CALAMARIIDAE,Pseudorabdion,mcnamarae,,,,,"(Taylor, 1917)",
169803,Lycodon chrysoprateros,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Lycodon,chrysoprateros,,,,,"Ota &amp; Ross, 1994",
169805,Pseudogekko brevipes,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Pseudogekko,brevipes,,,,,"(Boettger, 1867)",
169806,Dasia griffini,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Dasia,griffini,,,,,"Taylor, 1915",
169811,Brachymeles cebuensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Brachymeles,cebuensis,,,,,"Brown &amp; Rabor, 1967",
169817,Oligodon modestum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Oligodon,modestum,,,,,"(Günther, 1864)",
